client_id,signup_date,weight,age,is_mom,spendiness_top,dress_size,boho_score_inferred,casual_score_inferred,classic_score_inferred,glam_score_inferred,romantic_score_inferred,edgy_score_inferred,preppy_score_inferred,profession,shipping_state,spendiness_bottom,business_score,laidback_score,cocktail_score,nightout_score
185,04:22.6,180,35,t,50_100,M,3,5,6,5,3,5,2,Finance,MD,50_100,8,5,6,7
186,12:36.9,130,32,t,50_100,S,5,8,6,6,7,4,4,Client Services,CO,50_100,8,5,6,8
187,18:50.5,138,27,f,cheaper_the_better,S,7,7,9,3,4,5,4,Management,MO,cheaper_the_better,8,7,6,5
188,48:13.2,135,44,t,cheaper_the_better,S,3,7,6,6,6,3,4,Fashion,CA,50_100,5,7,7,4
189,57:26.3,107,27,f,cheaper_the_better,XS,8,3,4,6,5,3,4,Education,VA,cheaper_the_better,5,7,4,6
190,50:53.9,115,48,t,50_100,S,6,8,8,2,7,3,2,Management,KY,50_100,5,5,4,4
191,53:54.3,138,43,f,150_200,S,3,5,7,5,5,5,3,Other,MO,150_200,5,8,4,5
192,45:15.2,120,45,t,50_100,S,2,7,7,6,4,3,4,Medicine,OR,100_150,5,5,2,4
193,11:42.4,150,25,f,cheaper_the_better,M,8,8,3,7,6,6,7,Medicine,LA,cheaper_the_better,2,6,6,6
194,19:13.7,155,45,f,50_100,M,8,5,8,7,7,7,6,Medicine,VA,50_100,4,6,6,6
195,38:08.9,123,35,f,50_100,S,5,7,8,5,4,4,3,Management,NJ,100_150,5,5,4,5
196,52:38.1,130,36,t,50_100,M,4,5,6,7,6,2,6,Finance,WA,50_100,7,4,6,2
197,05:08.2,160,33,t,50_100,L,6,8,6,5,4,4,6,Management,VA,50_100,9,7,4,4
198,45:30.1,126,28,f,cheaper_the_better,S,5,6,8,8,9,6,9,Medicine,TX,cheaper_the_better,8,6,7,7
199,16:45.6,147,29,f,50_100,M,2,6,8,5,3,6,4,Technology,OH,50_100,6,5,7,6
200,47:13.9,100,35,t,cheaper_the_better,XS,3,5,7,5,6,6,7,Homemaker,NY,50_100,6,9,6,5
201,48:32.4,153,44,t,50_100,M,6,6,3,6,6,7,6,Other,TN,50_100,5,9,2,4
202,49:33.0,140,40,t,100_150,M,4,7,7,4,6,6,7,Other,WA,150_200,6,7,6,7
203,58:27.4,145,25,f,cheaper_the_better,S,3,4,7,2,2,2,8,Student,IL,cheaper_the_better,7,4,4,7
204,31:24.1,128,35,t,50_100,S,8,5,7,3,5,3,3,Law,FL,cheaper_the_better,8,6,4,6
205,27:44.2,118,41,t,cheaper_the_better,S,7,7,7,6,2,4,6,Homemaker,GA,cheaper_the_better,5,9,3,3
206,35:31.9,140,23,f,50_100,S,2,5,8,6,4,8,4,Technology,CA,50_100,5,8,4,5
207,08:41.6,120,41,t,50_100,S,7,6,5,4,6,5,6,Homemaker,NJ,50_100,4,8,5,6
208,37:30.2,150,44,t,cheaper_the_better,L,7,7,8,5,6,6,7,Homemaker,TN,cheaper_the_better,5,5,6,2
209,47:19.3,130,38,t,50_100,XS,3,7,5,6,5,2,5,Finance,NY,100_150,9,8,7,5
210,40:55.7,140,30,f,100_150,M,4,7,5,4,4,2,6,Medicine,IN,100_150,6,7,5,4
211,32:12.7,140,25,f,50_100,M,4,9,5,2,5,9,5,Marketing,DC,100_150,7,8,6,4
212,13:28.8,158,56,t,50_100,L,7,7,7,6,3,6,5,Homemaker,TX,50_100,4,9,2,3
213,38:01.0,170,40,t,cheaper_the_better,L,4,8,8,6,4,8,7,Education,VA,cheaper_the_better,7,6,4,6
214,08:38.3,115,34,f,cheaper_the_better,XS,2,7,4,3,6,2,5,Education,NJ,50_100,7,6,6,5
215,38:39.9,165,48,f,50_100,M,7,5,5,7,3,6,5,Retail,NH,100_150,3,7,3,8
216,54:53.5,120,35,f,50_100,S,6,8,7,7,4,4,3,Finance,NJ,50_100,5,5,3,7
217,23:32.5,150,36,f,cheaper_the_better,S,5,5,6,4,5,4,4,Fashion,WA,200_plus,9,3,3,6
218,56:08.3,135,24,f,cheaper_the_better,S,7,6,7,5,5,2,9,Fashion,CA,cheaper_the_better,4,8,7,6
219,10:48.5,160,33,f,50_100,S,4,4,4,4,4,4,3,Other,TX,50_100,8,7,5,3
220,43:09.4,175,35,f,50_100,L,5,9,4,6,5,6,4,Law,NY,50_100,6,9,6,8
221,08:07.1,150,27,f,50_100,M,4,6,6,8,7,6,4,Client Services,GA,50_100,8,4,3,3
222,17:56.5,173,32,f,50_100,L,5,6,5,2,2,5,7,Education,CA,100_150,9,7,5,7
223,39:44.6,145,28,f,cheaper_the_better,M,6,6,3,6,4,3,7,Other,MD,cheaper_the_better,4,6,5,5
224,30:42.0,135,26,f,50_100,M,5,6,6,5,6,5,3,Medicine,PA,50_100,7,8,4,7
225,50:03.9,125,35,f,50_100,S,4,6,3,2,6,7,6,Fashion,OR,150_200,4,7,4,7
226,25:34.5,176,41,t,cheaper_the_better,L,5,5,7,3,6,6,3,Homemaker,GA,100_150,8,5,6,5
227,42:32.7,183,25,f,cheaper_the_better,L,7,5,3,7,3,4,7,Fashion,OR,50_100,9,5,3,5
228,11:16.0,145,28,f,cheaper_the_better,M,2,4,7,7,5,4,5,Finance,IA,cheaper_the_better,5,5,3,5
229,21:25.7,170,31,t,50_100,L,3,5,8,3,4,6,4,Education,VA,50_100,3,7,5,5
230,38:32.9,115,27,f,50_100,XS,5,6,6,5,7,5,8,Marketing,NY,50_100,6,4,6,8
231,58:49.7,175,33,t,cheaper_the_better,L,5,6,7,8,5,6,8,Education,DE,cheaper_the_better,6,5,6,7
232,12:43.7,130,35,f,50_100,S,5,7,7,6,6,5,2,Finance,CO,100_150,7,5,3,4
